Religion,Cohort,Residence,Gender,Membership
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Female,Yes
Protestant,Late Empire,Rural,Female,Yes
Protestant,Late Empire,Rural,Female,Yes
Protestant,Late Empire,Rural,Female,Yes
Protestant,Late Empire,Rural,Female,Yes
Protestant,Late Empire,Rural,Female,Yes
Protestant,Late Empire,Rural,Female,Yes
Protestant,Late Empire,Rural,Female,Yes
Protestant,Late Empire,Rural,Female,Yes
Protestant,Late Empire,Rural,Female,Yes
Protestant,Late Empire,Rural,Female,Yes
Protestant,Late Empire,Rural,Female,Yes
Protestant,Late Empire,Rural,Female,Yes
Protestant,Late Empire,Rural,Female,Yes
Catholic,Late Empire,Rural,Male,Yes
Catholic,Late Empire,Rural,Male,Yes
Catholic,Late Empire,Rural,Male,Yes
Catholic,Late Empire,Rural,Male,Yes
Catholic,Late Empire,Rural,Male,Yes
Catholic,Late Empire,Rural,Male,Yes
Catholic,Late Empire,Rural,Male,Yes
Catholic,Late Empire,Rural,Male,Yes
Catholic,Late Empire,Rural,Male,Yes
Catholic,Late Empire,Rural,Male,Yes
Catholic,Late Empire,Rural,Male,Yes
Catholic,Late Empire,Rural,Male,Yes
Catholic,Late Empire,Rural,Male,Yes
Catholic,Late Empire,Rural,Male,Yes
Catholic,Late Empire,Rural,Male,Yes
Catholic,Late Empire,Rural,Male,Yes
Catholic,Late Empire,Rural,Male,Yes
Catholic,Late Empire,Rural,Male,Yes
Catholic,Late Empire,Rural,Male,Yes
Catholic,Late Empire,Rural,Male,Yes
Catholic,Late Empire,Rural,Male,Yes
Catholic,Late Empire,Rural,Male,Yes
Catholic,Late Empire,Rural,Male,Yes
Catholic,Late Empire,Rural,Male,Yes
Catholic,Late Empire,Rural,Male,Yes
Catholic,Late Empire,Rural,Male,Yes
Catholic,Late Empire,Rural,Male,Yes
Catholic,Late Empire,Rural,Male,Yes
Catholic,Late Empire,Rural,Male,Yes
Catholic,Late Empire,Rural,Male,Yes
Catholic,Late Empire,Rural,Male,Yes
Catholic,Late Empire,Rural,Male,Yes
Catholic,Late Empire,Rural,Male,Yes
Catholic,Late Empire,Rural,Male,Yes
Catholic,Late Empire,Rural,Male,Yes
Catholic,Late Empire,Rural,Male,Yes
Catholic,Late Empire,Rural,Male,Yes
Catholic,Late Empire,Rural,Male,Yes
Catholic,Late Empire,Rural,Male,Yes
Catholic,Late Empire,Rural,Male,Yes
Catholic,Late Empire,Rural,Male,Yes
Catholic,Late Empire,Rural,Male,Yes
Catholic,Late Empire,Rural,Male,Yes
Catholic,Late Empire,Rural,Male,Yes
Catholic,Late Empire,Rural,Male,Yes
Catholic,Late Empire,Rural,Male,Yes
Catholic,Late Empire,Rural,Male,Yes
Catholic,Late Empire,Rural,Male,Yes
Catholic,Late Empire,Rural,Male,Yes
Catholic,Late Empire,Rural,Male,Yes
Catholic,Late Empire,Rural,Male,Yes
Catholic,Late Empire,Rural,Male,Yes
Catholic,Late Empire,Rural,Male,Yes
Catholic,Late Empire,Rural,Male,Yes
Catholic,Late Empire,Rural,Male,Yes
Catholic,Late Empire,Rural,Male,Yes
Catholic,Late Empire,Rural,Male,Yes
Catholic,Late Empire,Rural,Male,Yes
Catholic,Late Empire,Rural,Male,Yes
Catholic,Late Empire,Rural,Male,Yes
Catholic,Late Empire,Rural,Male,Yes
Catholic,Late Empire,Rural,Male,Yes
Catholic,Late Empire,Rural,Female,Yes
Catholic,Late Empire,Rural,Female,Yes
Catholic,Late Empire,Rural,Female,Yes
Catholic,Late Empire,Rural,Female,Yes
Catholic,Late Empire,Rural,Female,Yes
Catholic,Late Empire,Rural,Female,Yes
Catholic,Late Empire,Rural,Female,Yes
Catholic,Late Empire,Rural,Female,Yes
Catholic,Late Empire,Rural,Female,Yes
None,Late Empire,Rural,Male,Yes
None,Late Empire,Rural,Male,Yes
None,Late Empire,Rural,Male,Yes
None,Late Empire,Rural,Male,Yes
None,Late Empire,Rural,Male,Yes
None,Late Empire,Rural,Male,Yes
None,Late Empire,Rural,Male,Yes
None,Late Empire,Rural,Male,Yes
None,Late Empire,Rural,Male,Yes
None,Late Empire,Rural,Male,Yes
None,Late Empire,Rural,Male,Yes
None,Late Empire,Rural,Male,Yes
None,Late Empire,Rural,Male,Yes
None,Late Empire,Rural,Male,Yes
None,Late Empire,Rural,Male,Yes
None,Late Empire,Rural,Male,Yes
None,Late Empire,Rural,Male,Yes
None,Late Empire,Rural,Male,Yes
None,Late Empire,Rural,Female,Yes
None,Late Empire,Rural,Female,Yes
None,Late Empire,Rural,Female,Yes
None,Late Empire,Rural,Female,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
Protestant,early Weimar,Rural,Male,Yes
